gvkey,indfrom,indthru,gsector,ggroup,gind
001004,1999-06-30,,20,2010,201010
001010,1999-06-30,2003-11-14,20,2030,203040
001013,1999-06-30,2010-12-12,45,4520,452010
001019,2021-05-07,2021-12-16,20,2020,202010
001021,1999-06-30,2014-09-15,35,3510,351010
001034,1999-06-30,2008-12-31,35,3520,352020
001036,1999-06-30,2001-05-25,20,2010,201060
001037,1999-06-30,2004-08-16,45,4520,452010
001038,1999-06-30,2004-12-27,25,2540,254010
001043,1999-06-30,2000-01-28,20,2020,202010
001045,1999-06-30,,20,2030,203020
001048,2005-04-30,2006-06-12,10,1010,101020
001048,1999-06-30,2005-04-29,55,5510,551020
001050,1999-06-30,2025-10-31,20,2020,202010
001050,2025-11-01,,20,2010,201060
001056,1999-06-30,2003-09-01,20,2010,201010
001056,2003-09-02,2007-08-17,45,4520,452030
001062,1999-06-30,2009-09-09,15,1510,151040
001062,2010-12-08,2011-04-05,40,4020,402030
001072,1999-06-30,2008-08-31,45,4520,452030
001072,2008-09-01,2020-03-31,45,4520,452030
001073,1999-06-30,2000-07-17,45,4510,451030
001075,1999-06-30,,55,5510,551010
001076,1999-06-30,2005-05-01,25,2550,255040
001076,2005-05-02,2020-12-01,25,2550,255040
001076,2020-12-02,,40,4020,402020
001078,1999-06-30,2013-01-01,35,3520,352020
001078,2013-01-02,,35,3510,351010
001081,1999-06-30,2007-10-29,15,1510,151050
001082,1999-06-30,2007-12-11,20,2010,201030
001082,2007-12-12,2011-02-06,45,4510,451020
001082,2011-02-07,2011-08-30,20,2020,202010
001084,1999-06-30,2018-09-30,45,4510,451010
001084,2018-10-01,,50,5020,502030
001090,1999-06-30,1999-12-13,45,4510,451020
001094,1999-06-30,2015-02-28,20,2010,201070
001094,2015-03-01,2019-10-02,35,3510,351020
001095,1999-06-30,2000-12-30,25,2540,254010
001095,2000-12-31,2002-06-17,25,2540,254010
001096,1999-06-30,2006-04-30,40,4040,404010
001096,2006-05-01,2016-08-31,40,4040,404030
001096,2016-09-01,2021-11-30,60,6010,601020
