direction,organization,parent_cik,volatility_change
dropped,DISH Network Corporation,1001082,4.3868
dropped,DISH Network L.L.C.,1001082,3.0151
dropped,"DISH Network, LLC",1001082,18.1023
dropped,"DISH Network, LLC",1001082,4.3868
dropped,"DISH Network, LLC",1001082,4.3868
dropped,"DISH Network, LLC",1001082,3.0151
dropped,"DISH Network, LLC",1001082,3.0151
dropped,"DISH Network, LLC",1001082,4.3868
dropped,Suddenlink Communications,unresolved,23.3137
added,GoDaddy,1609711,-25.2092
added,GoDaddy.com LLC,1609711,37.3245
added,GoDaddy.com LLC,1609711,34.4978
added,"GoDaddy.com, LLC",1609711,-25.2092
added,"GoDaddy.com, LLC",1609711,-15.383
added,"GoDaddy.com, LLC",1609711,-25.2092
added,"GoDaddy.com, LLC",1609711,-25.2092
added,"GoDaddy.com, LLC",1609711,-25.2092
added,Twilio,1447669,-9.4514
added,Twilio,1447669,-7.1211
